sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction
11,2,55,1,0.0013699
11,2,55,2,0.00147996
11,2,55,3,0.00159151
11,2,55,4,0.00148222
11,2,55,5,0.00152296
11,2,55,6,0.0022978
11,2,55,7,0.00276312
11,2,55,8,0.0032284
11,2,55,9,0.0046739
11,2,55,10,0.00698216
11,2,55,11,0.0142409
11,2,55,12,0.0314015
11,2,55,13,0.0947056
11,2,55,14,0.208721
11,2,55,15,0.240619
11,2,55,16,0.38292
11,2,62,1,0.00092905
11,2,62,2,0.000502531
11,2,62,3,0.000419954
11,2,62,4,0.000418841
11,2,62,5,0.000507464
11,2,62,6,0.000667722
11,2,62,7,0.00157954
11,2,62,8,0.00161227
11,2,62,9,0.00247289
11,2,62,10,0.00591886
11,2,62,11,0.0111132
11,2,62,12,0.0273627
11,2,62,13,0.0742534
11,2,62,14,0.158786
11,2,62,15,0.220935
11,2,62,16,0.49252
11,2,65,1,0.00118197
11,2,65,2,0.00145571
11,2,65,3,0.00149084
11,2,65,4,0.00151404
11,2,65,5,0.00159735
11,2,65,6,0.00151887
11,2,65,7,0.00201321
11,2,65,8,0.00234525
11,2,65,9,0.00321043
11,2,65,10,0.00619663
11,2,65,11,0.0126113
11,2,65,12,0.0304997
11,2,65,13,0.0819251
11,2,65,14,0.169419
11,2,65,15,0.22433
11,2,65,16,0.458691
11,2,72,1,0.000796443
11,2,72,2,0.00124902
11,2,72,3,0.000628376
11,2,72,4,0.00057982
11,2,72,5,0.000579333
11,2,72,6,0.000502658
11,2,72,7,0.000943484
11,2,72,8,0.00117975
11,2,72,9,0.00213744
11,2,72,10,0.00412891
11,2,72,11,0.010787
11,2,72,12,0.0217091
11,2,72,13,0.0640287
11,2,72,14,0.128912
11,2,72,15,0.209864
11,2,72,16,0.551974
11,2,75,1,0.00162036
11,2,75,2,0.00234748
11,2,75,3,0.00231652
11,2,75,4,0.00211972
11,2,75,5,0.00173875
11,2,75,6,0.00165032
11,2,75,7,0.00237191
11,2,75,8,0.00318908
11,2,75,9,0.00382641
11,2,75,10,0.0068221
11,2,75,11,0.013003
11,2,75,12,0.025813
11,2,75,13,0.0675996
11,2,75,14,0.13279
11,2,75,15,0.206372
11,2,75,16,0.52642
11,2,82,1,0.00168204
11,2,82,2,0.00177816
11,2,82,3,0.000801298
11,2,82,4,0.0006609
11,2,82,5,0.000798736
11,2,82,6,0.000806224
11,2,82,7,0.0010686
11,2,82,8,0.00167066
11,2,82,9,0.00213743
11,2,82,10,0.00424829
11,2,82,11,0.0112851
11,2,82,12,0.0209695
11,2,82,13,0.0531469
11,2,82,14,0.113487
11,2,82,15,0.202878
11,2,82,16,0.582581
11,2,85,1,0.00349667
11,2,85,2,0.00569593
11,2,85,3,0.00500291
11,2,85,4,0.00387264
11,2,85,5,0.00369507
11,2,85,6,0.00376236
11,2,85,7,0.00351778
11,2,85,8,0.00408188
11,2,85,9,0.00482843
11,2,85,10,0.00691653
11,2,85,11,0.0123313
11,2,85,12,0.026614
11,2,85,13,0.058474
11,2,85,14,0.117884
11,2,85,15,0.201127
11,2,85,16,0.538699
11,2,92,1,0.00173532
11,2,92,2,0.00212207
11,2,92,3,0.00135959
11,2,92,4,0.00083702
11,2,92,5,0.000931771
11,2,92,6,0.00104418
11,2,92,7,0.000998637
11,2,92,8,0.0015232
11,2,92,9,0.00178477
11,2,92,10,0.00417181
11,2,92,11,0.0101119
11,2,92,12,0.0183809
11,2,92,13,0.0476288
11,2,92,14,0.102624
11,2,92,15,0.196808
11,2,92,16,0.607938
11,2,95,1,0.00383596
11,2,95,2,0.0068178
11,2,95,3,0.0049511
11,2,95,4,0.00455062
11,2,95,5,0.00386823
11,2,95,6,0.00339478
11,2,95,7,0.00321011
11,2,95,8,0.00343675
11,2,95,9,0.00436532
11,2,95,10,0.0066
11,2,95,11,0.0124076
11,2,95,12,0.0254925
11,2,95,13,0.0575158
11,2,95,14,0.117935
11,2,95,15,0.202652
11,2,95,16,0.538966
11,2,102,1,0.00248181
11,2,102,2,0.00350547
11,2,102,3,0.00216379
11,2,102,4,0.00162011
11,2,102,5,0.00147188
11,2,102,6,0.00157165
11,2,102,7,0.00146545
11,2,102,8,0.00170929
11,2,102,9,0.0018348
11,2,102,10,0.00451731
11,2,102,11,0.0104334
11,2,102,12,0.0194215
11,2,102,13,0.0470479
11,2,102,14,0.10062
11,2,102,15,0.197934
11,2,102,16,0.602202
11,2,105,1,0.00410576
11,2,105,2,0.00777603
11,2,105,3,0.00399697
11,2,105,4,0.00286371
11,2,105,5,0.00256804
11,2,105,6,0.00209679
11,2,105,7,0.00194512
11,2,105,8,0.0021449
