yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
2048,43,0,743704,1
2048,51,0,92284,1
2048,52,0,16204221,1
2048,53,0,714675,1
2048,54,0,1915578,1
2048,61,0,2075778,1
2048,62,0,1892853,1
2049,11,0,10689995,1
2049,21,0,66633868,1
2049,31,0,216186374,1
2049,32,0,20553895,1
2049,41,0,552693,1
2049,42,0,159762,1
2049,43,0,751389,1
2049,51,0,93673,1
2049,52,0,16448018,1
2049,53,0,725427,1
2049,54,0,1944399,1
2049,61,0,2075711,1
2049,62,0,1892791,1
2050,11,0,10756125,1
2050,21,0,66529452,1
2050,31,0,218130466,1
2050,32,0,20738729,1
2050,41,0,557938,1
2050,42,0,161278,1
2050,43,0,758520,1
2050,51,0,95019,1
2050,52,0,16684339,1
2050,53,0,735850,1
2050,54,0,1972335,1
2050,61,0,2072804,1
2050,62,0,1890140,1
2051,11,0,10822663,1
2051,21,0,66425199,1
2051,31,0,220092042,1
2051,32,0,20925226,1
2051,41,0,563233,1
2051,42,0,162808,1
2051,43,0,765718,1
2051,51,0,96384,1
2051,52,0,16924055,1
2051,53,0,746423,1
2051,54,0,2000673,1
2051,61,0,2069901,1
2051,62,0,1887493,1
2052,11,0,10889614,1
2052,21,0,66321110,1
2052,31,0,222071257,1
2052,32,0,21113399,1
2052,41,0,568578,1
2052,42,0,164353,1
2052,43,0,772985,1
2052,51,0,97769,1
2052,52,0,17167215,1
2052,53,0,757147,1
2052,54,0,2029418,1
2052,61,0,2067002,1
2052,62,0,1884849,1
2053,11,0,10956979,1
2053,21,0,66217184,1
2053,31,0,224068270,1
2053,32,0,21303265,1
2053,41,0,573974,1
2053,42,0,165913,1
2053,43,0,780321,1
2053,51,0,99173,1
2053,52,0,17413869,1
2053,53,0,768025,1
2053,54,0,2058577,1
2053,61,0,2064107,1
2053,62,0,1882210,1
2054,11,0,11024760,1
2054,21,0,66113421,1
2054,31,0,226083242,1
2054,32,0,21494839,1
2054,41,0,579422,1
2054,42,0,167488,1
2054,43,0,787726,1
2054,51,0,100598,1
2054,52,0,17664066,1
2054,53,0,779060,1
2054,54,0,2088154,1
2054,61,0,2061216,1
2054,62,0,1879573,1
2055,11,0,11092961,1
2055,21,0,66009820,1
2055,31,0,228116334,1
2055,32,0,21688135,1
2055,41,0,584920,1
2055,42,0,169077,1
2055,43,0,795202,1
2055,51,0,102043,1
2055,52,0,17917859,1
2055,53,0,790254,1
2055,54,0,2118156,1
2055,61,0,2058329,1
2055,62,0,1876941,1
2056,11,0,11161583,1
2056,21,0,65906382,1
2056,31,0,230167709,1
2056,32,0,21883169,1
2056,41,0,590471,1
2056,42,0,170682,1
2056,43,0,802749,1
2056,51,0,103510,1
2056,52,0,18175297,1
2056,53,0,801608,1
2056,54,0,2148589,1
2056,61,0,2055447,1
2056,62,0,1874312,1
2057,11,0,11230630,1
2057,21,0,65803106,1
2057,31,0,232237531,1
2057,32,0,22079957,1
2057,41,0,596075,1
2057,42,0,172301,1
2057,43,0,810367,1
2057,51,0,104997,1
2057,52,0,18436435,1
2057,53,0,813125,1
2057,54,0,2179459,1
2057,61,0,2052568,1
2057,62,0,1871687,1
2058,11,0,11300104,1
2058,21,0,65699991,1
2058,31,0,234325967,1
2058,32,0,22278515,1
